,Date,Gold,Zinc,Platinum,Silver,Tin,Copper,Year,Month,Date
140,1971M09,42.03,311.2,122.5,1.42,3525.2,1056.4,1971,9,1971M09
141,1971M10,42.5,336.6,122.5,1.34,3489.9,1041.2,1971,10,1971M10
142,1971M11,42.86,344.4,122.5,1.32,3534,1013.9,1971,11,1971M11
143,1971M12,43.48,358.9,122.5,1.39,3670.7,1037.9,1971,12,1971M12
144,1972M01,45.75,379.8,122.5,1.47,3626.6,1078,1972,1,1972M01
145,1972M02,48.26,389.7,122.5,1.5,3631,1112.4,1972,2,1972M02
146,1972M03,48.33,397.4,122.5,1.54,3789.7,1108.2,1972,3,1972M03
147,1972M04,49.03,395,122.5,1.57,3844.9,1133,1972,4,1972M04
148,1972M05,54.62,386.2,122.5,1.58,3765.5,1106.4,1972,5,1972M05
149,1972M06,62.09,371,122.5,1.57,3741.2,1063.2,1972,6,1972M06
150,1972M07,65.66,363.7,128,1.74,3732.4,1034.6,1972,7,1972M07
151,1972M08,67.03,363.5,132.5,1.85,3754.5,1046.7,1972,8,1972M08
152,1972M09,65.46,368.4,132.5,1.78,3803,1060.6,1972,9,1972M09
153,1972M10,64.86,363.7,132.5,1.81,3758.9,917.5,1972,10,1972M10
154,1972M11,62.91,378.9,132.5,1.83,3701.6,1007.1,1972,11,1972M11
155,1972M12,63.91,375,132.5,1.98,3730.2,1024.4,1972,12,1972M12
156,1973M01,65.14,387,132.5,2.02,3789.7,1119,1973,1,1973M01
157,1973M02,74.2,422,141.97,2.24,4027.8,1243.6,1973,2,1973M02
158,1973M03,84.37,474,152.5,2.31,4288,1509.5,1973,3,1973M03
159,1973M04,90.5,513,152.5,2.21,4270.3,1588.4,1973,4,1973M04
160,1973M05,101.96,549,152.5,2.4,4347.5,1552.2,1973,5,1973M05
161,1973M06,120.12,656,152.5,2.62,4530.5,1748.7,1973,6,1973M06
162,1973M07,120.17,842,152.5,2.71,4962.6,2021.2,1973,7,1973M07
163,1973M08,106.76,914,152.5,2.64,5004.5,2123,1973,8,1973M08
164,1973M09,102.97,976,155.24,2.68,5011.1,1936.1,1973,9,1973M09
165,1973M10,100.08,1163,160.5,2.89,5359.4,2065.3,1973,10,1973M10
166,1973M11,94.92,1625,160.5,2.86,5573.3,2273,1973,11,1973M11
167,1973M12,106.72,1623,160.5,3.14,6461.7,2244.3,1973,12,1973M12
168,1974M01,129.19,1330,162.68,3.64,6503.6,2032.4,1974,1,1974M01
